Field Name,Alt Field Name,Type,Page,Left,Top,Width,Height,Current Value
"Text1.0.0","Text1.0.0","EditBox",1,61.9635009765625,44.50897216796875,177.59950256347656,15.70904541015625,""
"Text1.1.0.0","Text1.1.0.0","EditBox",1,46.080101013183594,209.45501708984375,205.26589965820312,15.708984375,""
"Text1.1.1","Text1.1.1","EditBox",1,258.4540100097656,209.4539794921875,165.08999633789062,15.708984375,""
"Text1.0.1.0","Text1.0.1.0","EditBox",1,430.3169860839844,208.14599609375,34.107025146484375,15.6190185546875,""
"Text1.0.1.1.0","Text1.0.1.1.0","EditBox",1,467.92999267578125,208.14599609375,33.149993896484375,15.6190185546875,""
"Text1.0.1.1.1","Text1.0.1.1.1","EditBox",1,504.4989929199219,208.14599609375,65.14999389648438,15.6190185546875,""
"Text1.1.0.1","Text1.1.0.1","EditBox",1,46.080101013183594,266.00799560546875,526.7789306640625,15.708984375,""
"Check Box1.","Check Box1.0","CheckBox",1,51.79719924926758,329.552978515625,12.11770248413086,11.167999267578125,"False"
"Check Box1.","Check Box1.1","CheckBox",1,219.0189971923828,329.552978515625,12.117996215820312,11.167999267578125,"False"
"Check Box1.","Check Box1.2","CheckBox",1,386.2409973144531,329.552978515625,12.118011474609375,11.167999267578125,"False"
"Check Box3","Check Box3","CheckBox",1,50.64799880981445,358.9629821777344,12.11770248413086,11.167022705078125,"False"
"Check Box2.","Check Box2.Tak","CheckBox",1,51.70920181274414,418.2550048828125,12.218196868896484,11.126983642578125,"False"
"Check Box2.","Check Box2.Nie","CheckBox",1,209.67300415039062,418.2550048828125,12.218002319335938,11.126983642578125,"False"
"Check Box4.","Check Box4.Tak","CheckBox",1,51.49100112915039,446.3999938964844,12.21820068359375,11.12799072265625,"False"
"Check Box4.","Check Box4.Nie","CheckBox",1,51.49100112915039,461.3639831542969,12.21820068359375,11.12701416015625,"False"
"Check Box6.","Check Box6.Tak","CheckBox",1,57.381900787353516,536.072998046875,12.218196868896484,11.12799072265625,"False"
"Check Box6.","Check Box6.Nie","CheckBox",1,145.3090057373047,536.072998046875,12.217987060546875,11.12799072265625,"False"
"Check Box7","Check Box7","CheckBox",1,56.40010070800781,589.9639892578125,12.21820068359375,11.128005981445312,"False"
"Check Box8.0","Check Box8.0","CheckBox",1,57.30910110473633,650.1819458007812,12.218196868896484,11.199996948242188,"False"
"Check Box8.1","Check Box8.1","CheckBox",1,57.30910110473633,684.2359619140625,12.218196868896484,11.199996948242188,"False"
"Check Box9.0","Check Box9.0","CheckBox",2,56,90.76397705078125,12.21820068359375,11.20001220703125,"False"
"Text15.1.0","Text15.1.0","EditBox",2,346.2550048828125,86.1820068359375,65.23599243164062,15.708984375,""
"Text15.1.1","Text15.1.1","EditBox",2,425.364013671875,86.1820068359375,65.23699951171875,15.708984375,""
"Check Box9.1","Check Box9.1","CheckBox",2,56,105.7459716796875,12.21820068359375,11.20001220703125,"False"
"Check Box9.2","Check Box9.2","CheckBox",2,56,120.43597412109375,12.21820068359375,11.20001220703125,"False"
"Check Box10","Check Box10","CheckBox",2,56.288299560546875,161.54901123046875,12.21820068359375,11.199951171875,"False"
"Check Box11.0","Check Box11.0","CheckBox",2,177.16400146484375,231.27301025390625,11.927001953125,11.053955078125,"False"
"Check Box12.0","Check Box12.0","CheckBox",2,272.87298583984375,231.27301025390625,11.927001953125,11.053955078125,"False"
"Check Box11.1","Check Box11.1","CheckBox",2,176.16400146484375,256.87298583984375,11.927001953125,11.05401611328125,"False"
"Check Box12.1","Check Box12.1","CheckBox",2,273.6549987792969,256.76397705078125,11.927001953125,11.05401611328125,"False"
"Check Box13","Check Box13","CheckBox",2,296.6189880371094,317.99700927734375,11.928009033203125,11.05499267578125,"False"
"Check Box14","Check Box14","CheckBox",2,57.30910110473633,341.09100341796875,11.927295684814453,11.05499267578125,"False"
"Text15.0","Text15.0","EditBox",2,236.9459991455078,390.5459899902344,65.23600769042969,15.709014892578125,""
"Check Box15","Check Box15","CheckBox",2,296.8370056152344,424.3639831542969,11.927001953125,11.055023193359375,"False"
"Check Box16","Check Box16","CheckBox",2,56.07279968261719,446.94598388671875,11.927299499511719,11.05401611328125,"False"
"Text17","Text17","EditBox",2,108.2249984741211,497.4270324707031,34.105995178222656,15.618988037109375,""
"Text18","Text18","EditBox",2,145.83799743652344,497.4270324707031,33.15000915527344,15.618988037109375,""
"Text19","Text19","EditBox",2,182.40699768066406,497.4270324707031,65.15000915527344,15.618988037109375,""
